Title,Price,Year,Mileage,Fuel,Location,Link,Make,Model,Condition,Body Type,Color,Seats
Toyota Corolla XLI 2008 | Toyota Corolla XLI Converted To GLI,Rs 19.50 Lacs,2008,"270,000 km",Petrol,"Others, Narowal•",https://www.olx.com.pk/item/toyota-corolla-xli-2008-toyota-corolla-xli-converted-to-gli-iid-1105047554,,,,,,
Toyota Fortuner 2.7 VVTi 2017,Rs 1.12 Crore,2017,"90,000 km",Petrol,"G-13/1, Islamabad•",https://www.olx.com.pk/item/toyota-fortuner-27-vvti-2017-iid-1104962898,,,,,,
Toyota Corolla Altis (2015) model,Rs 37.50 Lacs,2015,"90,746 km",Petrol,"Pak Arab Housing Society, Lahore•",https://www.olx.com.pk/item/toyota-corolla-altis-2015-model-iid-1104960928,,,,,,
Honda Civic VTi Oriel Prosmatec 2016 model,Rs 42 Lacs,2016,"104,000 km",Petrol,"Lalian, Chiniot•",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2016-model-iid-1104059015,,,,,,
"Toyota platz 2004/2007 model btr thn cultus,alto,mehran,civic,passo",Rs 13.75 Lacs,2004,"123,456 km",Petrol,"Ghulam Mohammad Abad, Faisalabad•",https://www.olx.com.pk/item/toyota-platz-20042007-model-btr-thn-cultusaltomehrancivicpasso-iid-1103367629,,,,,,
SUZUKI Kei,Rs 14.75 Lacs,2007,"231,000 km",Petrol,"9th Avenue, Islamabad•",https://www.olx.com.pk/item/suzuki-kei-iid-1105934420,,,,,,
Suzuki Cultus VXR,Rs 9.25 Lac,2007,"53,170 km",Petrol,"Johar Town Phase 1, Lahore•",https://www.olx.com.pk/item/suzuki-cultus-vxr-iid-1105753809,,,,,,
Toyota Corolla GLI 1.3 2018 Automatic,Rs 48 Lacs,2018,"94,000 km",Petrol,"Sohawa, Jhelum•",https://www.olx.com.pk/item/toyota-corolla-gli-13-2018-automatic-iid-1105933997,,,,,,
toyota rush,Rs 27.50 Lacs,2009,"100,000 km",Petrol,"Akhtar Colony, Karachi•",https://www.olx.com.pk/item/toyota-rush-iid-1105878999,,,,,,
ALTO VXR 2021,Rs 22.70 Lacs,2021,"140,000 km",Petrol,"Nawa Shehar, Multan•",https://www.olx.com.pk/item/alto-vxr-2021-iid-1105628884,,,,,,
2022 Suzuki Wagon R Hybrid FX Edition Mira Move Alto N Wgn,Rs 37.90 Lacs,2022,"75,498 km",Hybrid,"Maulana Shaukat Ali Road, Lahore•",https://www.olx.com.pk/item/2022-suzuki-wagon-r-hybrid-fx-edition-mira-move-alto-n-wgn-iid-1105933894,,,,,,
Suzuki Baleno 2004,Rs 8.94 Lac,2004,"123,456 km",Petrol,"Salamatpura, Lahore•",https://www.olx.com.pk/item/suzuki-baleno-2004-iid-1105933858,,,,,,
Toyota Fortuner Legender 2023,Rs 1.87 Crore,2023,"25,000 km",Diesel,"Wapda Town, Lahore•",https://www.olx.com.pk/item/toyota-fortuner-legender-2023-iid-1105933749,,,,,,
Toyota Corolla Altis 2022/23,Rs 67.50 Lacs,2022,"63,000 km",Petrol,"Faisal Town, Lahore•",https://www.olx.com.pk/item/toyota-corolla-altis-202223-iid-1105933386,,,,,,
Suzuki Alto 2023,Rs 27.70 Lacs,2023,"50,000 km",Petrol,"Eden Life Islamabad, Islamabad•",https://www.olx.com.pk/item/suzuki-alto-2023-iid-1105933259,,,,,,
Toyota Altis Grande 2016 low mileage,Rs 48 Lacs,2016,"107,000 km",Petrol,"Habibullah Colony, Abbottabad•",https://www.olx.com.pk/item/toyota-altis-grande-2016-low-mileage-iid-1105932836,,,,,,
2022 Nissan Dayz Highway Star Hybrid 5 Grade  N Wgn Mira Alto Mira,Rs 42.90 Lacs,2022,"6,648 km",Hybrid,"Maulana Shaukat Ali Road, Lahore•",https://www.olx.com.pk/item/2022-nissan-dayz-highway-star-hybrid-5-grade-n-wgn-mira-alto-mira-iid-1105933232,,,,,,
Honda Civic RS Turbo 2016/2017,Rs 44 Lacs,2016,"107,000 km",Petrol,"MA Jinnah Road, Multan•",https://www.olx.com.pk/item/honda-civic-rs-turbo-20162017-iid-1105933115,,,,,,
Toyota Yaris 1.3 CVT GLI 2025 Showroom delivery,Rs 51.25 Lacs,2025,New,Petrol,"Motorway City, Faisalabad•",https://www.olx.com.pk/item/toyota-yaris-13-cvt-gli-2025-showroom-delivery-iid-1104886672,,,,,,
Toyota Grande 2022 model with black interior B2b original,Rs 67.40 Lacs,2022,"32,000 km",Petrol,"Bahadurabad, Karachi•",https://www.olx.com.pk/item/toyota-grande-2022-model-with-black-interior-b2b-original-iid-1104337711,,,,,,
MG HS PHEV 2022 Model,Rs 87.75 Lacs,2022,"63,000 km",Hybrid,"Sant Nagar, Lahore•",https://www.olx.com.pk/item/mg-hs-phev-2022-model-iid-1105932786,,,,,,
Suzuki Alto vxr,Rs 27.80 Lacs,2024,"28,000 km",Petrol,"Block 32, Dera Ghazi Khan•",https://www.olx.com.pk/item/suzuki-alto-vxr-iid-1105932450,,,,,,
SUZUKI ALTO MODEL 2010 FULL POWER PACK,Rs 9.90 Lac,2010,"117,000 km",Petrol,"Rifah Aam, Karachi•",https://www.olx.com.pk/item/suzuki-alto-model-2010-full-power-pack-iid-1104842665,,,,,,
Toyota Corolla GLi 1.3 VVTi Special Edition 2018,Rs 50 Lacs,2018,"51,000 km",Petrol,"Umerkot, Sindh•",https://www.olx.com.pk/item/toyota-corolla-gli-13-vvti-special-edition-2018-iid-1105932055,,,,,,
Suzuki weagon R vxl 2017 model,Rs 21.50 Lacs,2017,"108,000 km",Petrol,"G-15 Markaz, Islamabad•",https://www.olx.com.pk/item/suzuki-weagon-r-vxl-2017-model-iid-1104758422,Suzuki,Wagon R,Used,Other,White,4.0
Toyota Corolla GLi auto silver  2019 model 2019  reg,Rs 42.75 Lacs,2019,"76,000 km",Petrol,"Gulshan-e-Iqbal, Karachi•",https://www.olx.com.pk/item/toyota-corolla-gli-auto-silver-2019-model-2019-reg-iid-1105932563,Toyota,Corolla GLI,Used,Sedan,Silver,4.0
Civic prosmatic 2005 EXI Automatic,Rs 13.50 Lacs,2005,"100,000 km",Petrol,"Gulshan-e-Iqbal, Karachi•",https://www.olx.com.pk/item/civic-prosmatic-2005-exi-automatic-iid-1105930614,Honda,Civic EXi,Used,Sedan,Brown,4.0
Suzuki Mehran VX 2013,Rs 10.30 Lacs,2013,"33,000 km",Petrol,"Gulberg Town, Attock•",https://www.olx.com.pk/item/suzuki-mehran-vx-2013-iid-1099132511,Suzuki,Mehran VX,Used,Hatchback,Grey,
Toyota Hilux Revo V Automatic 2020,Rs 1.12 Crore,2020,"80,000 km",Diesel,"Others, Arifwala•",https://www.olx.com.pk/item/toyota-hilux-revo-v-automatic-2020-iid-1105930964,Toyota,Hilux,Used,SUV,White,
Nissan Dayz Highway Star Roox Alto Cultus Passo Vitz N Wagon R N Box,Rs 19.95 Lacs,2014,"125,555 km",Petrol,"Airport, Karachi•",https://www.olx.com.pk/item/nissan-dayz-highway-star-roox-alto-cultus-passo-vitz-n-wagon-r-n-box-iid-1105866088,Nissan,Dayz,Used,Hatchback,Burgundy,5.0
Suzuki Cultus VXR 2014,Rs 15.50 Lacs,2014,"88,000 km",Petrol,"Allama Iqbal Town, Lahore•",https://www.olx.com.pk/item/suzuki-cultus-vxr-2014-iid-1105739960,Suzuki,Cultus VXR,Used,Other,White,
Suzuki Alto VXL AGS 2020,Rs 24.60 Lacs,2020,"106,000 km",Petrol,"Airline Housing Society, Lahore•",https://www.olx.com.pk/item/suzuki-alto-vxl-ags-2020-iid-1105729722,Suzuki,Alto,Used,Small city car,Grey,
Honda Civic Prosmatic 2002 VTI (Genuine Condition),Rs 12.85 Lacs,2002,"144,000 km",Petrol,"KESC Housing Society, Karachi•",https://www.olx.com.pk/item/honda-civic-prosmatic-2002-vti-genuine-condition-iid-1105634587,Honda,Civic Prosmetic,Used,Hatchback,Black,
HONDA  CIVIC  1.5  ( ORIEL ) 2025,Rs 89 Lacs,2025,"2,350 km",Petrol,"Allama Iqbal Town - Huma Block, Lahore•",https://www.olx.com.pk/item/honda-civic-15-oriel-2025-iid-1105145303,Honda,Civic Oriel,Used,Sedan,White,5.0
Honda Vezel RS Top of the line,Rs 69.50 Lacs,2018,"75,000 km",Hybrid,"Johar Town Phase 1, Lahore•",https://www.olx.com.pk/item/honda-vezel-rs-top-of-the-line-iid-1105106022,Honda,Vezel,Used,SUV,White,5.0
Suzuki Carry Bolan Model 2017,Rs 13.60 Lacs,2017,New,Petrol,"Madina Colony, Rawalpindi•",https://www.olx.com.pk/item/suzuki-carry-bolan-model-2017-iid-1103146257,Suzuki,Carry,New,Other,White,7.0
Suzuki Every 2019 Model For Sale,Rs 26 Lacs,2019,"61,000 km",Petrol,"Big City, Sialkot•",https://www.olx.com.pk/item/suzuki-every-2019-model-for-sale-iid-1105927881,Suzuki,Every,Used,Pickup,White,4.0
Toyota Yaris Sedan GLI CVT 2022,Rs 44 Lacs,2022,"14,900 km",Petrol,"Falcon Complex Faisal, Karachi•",https://www.olx.com.pk/item/toyota-yaris-sedan-gli-cvt-2022-iid-1105907521,Toyota,Yaris,Used,Sedan,Grey,5.0
Mercedes C Class 2004,Rs 25 Lacs,2004,"70,000 km",Petrol,"Tariq Road, Karachi•",https://www.olx.com.pk/item/mercedes-c-class-2004-iid-1105714249,Mercedes,C Class,Used,Sedan,Black,4.0
Suzuki Cultus Vxr converted to Vxl 2018,Rs 23.70 Lacs,2018,"85,640 km",Petrol,"Wapda Town, Multan•",https://www.olx.com.pk/item/suzuki-cultus-vxr-converted-to-vxl-2018-iid-1105931834,Suzuki,Cultus VXL,Used,Hatchback,White,
Suzuki Alto 2021,Rs 23.50 Lacs,2021,New,Petrol,"Ghauri Town, Islamabad•",https://www.olx.com.pk/item/suzuki-alto-2021-iid-1105931855,Suzuki,Alto,New,Small city car,White,5.0
Daihatsu Move Canbus 2022 / 2025 Registered Automatic,Rs 32.50 Lacs,2022,"25,000 km",Petrol,"PECHS, Karachi•",https://www.olx.com.pk/item/daihatsu-move-canbus-2022-2025-registered-automatic-iid-1105856228,Daihatsu,Move,Used,Small city car,Beige,
Hyundai Elantra 2022,Rs 61 Lacs,2022,"66,000 km",Petrol,"Gulgasht Colony, Multan•",https://www.olx.com.pk/item/hyundai-elantra-2022-iid-1104728628,Hyundai,Elantra,Used,Sedan,White,
Suzuki Wagon R VXR,Rs 24 Lacs,2019,"72,000 km",Petrol,"Green City, Lahore•",https://www.olx.com.pk/item/suzuki-wagon-r-vxr-iid-1105869210,Suzuki,Wagon R,Used,Other,White,4.0
Suzuki Swift 2018 in good condition,Rs 26.85 Lacs,2018,"87,849 km",Petrol,"Wapda Town Phase 1, Lahore•",https://www.olx.com.pk/item/suzuki-swift-2018-in-good-condition-iid-1105931220,Suzuki,Swift,Used,Hatchback,Silver,
Honda Civic Hybrid,Rs 23.90 Lacs,2006,"250,000 km",Hybrid,"Chaklala Scheme, Rawalpindi•",https://www.olx.com.pk/item/honda-civic-hybrid-iid-1104969131,Honda,Civic Hybrid,Used,Sedan,Grey,5.0
Suzuki Alto vxl 2022,Rs 28 Lacs,2022,"92,523 km",Petrol,"Rawalpindi Road, Chakwal•",https://www.olx.com.pk/item/suzuki-alto-vxl-2022-iid-1105624809,Suzuki,Alto,Used,Small city car,White,5.0
Suzuki Alto vxr Islamabad register,Rs 9.30 Lac,2006,"148,000 km",Petrol,"G-9 Markaz, Islamabad•",https://www.olx.com.pk/item/suzuki-alto-vxr-islamabad-register-iid-1105931054,Suzuki,Alto,Used,Small city car,Red,5.0
Nissan Roox Push Start 2022 3.5 Grade 2025 Import,Rs 33.50 Lacs,2022,New,Petrol,"DHA Defence, Karachi•",https://www.olx.com.pk/item/nissan-roox-push-start-2022-35-grade-2025-import-iid-1105930993,Nissan,Roox,New,Hatchback,Silver,5.0
Suzuki wagon r vxr 2021 model in low price,Rs 24.30 Lacs,2021,"76,000 km",Petrol,"Ghori Chowk, Sahiwal•",https://www.olx.com.pk/item/suzuki-wagon-r-vxr-2021-model-in-low-price-iid-1104507281,Suzuki,Wagon R,Used,Small city car,White,4.0
Honda Civic 1.5 turbo 100% original,Rs 50.50 Lacs,2016,"59,500 km",Petrol,"DHA Phase 7, Karachi•",https://www.olx.com.pk/item/honda-civic-15-turbo-100-original-iid-1105930591,Honda,Civic Turbo 1.5,Used,Sedan,White,5.0
Civic UG 99 Top of the line  Automatic,Rs 12.75 Lacs,1999,1 km,CNG,"Kohsar Housing Scheme Phase 1, Hyderabad•",https://www.olx.com.pk/item/civic-ug-99-top-of-the-line-automatic-iid-1104383264,Toyota,Corolla,Used,Sedan,White,5.0
SUZUKI ALTO 2006 MODEL | MANUAL | ORIGINAL | AC CHILLED,Rs 6.50 Lac,2006,"9,999 km",Petrol,"Aisha Manzil, Karachi•",https://www.olx.com.pk/item/suzuki-alto-2006-model-manual-original-ac-chilled-iid-1105737889,Suzuki,Alto,Used,Hatchback,White,4.0
Suzuki Wagon R 2022,Rs 22 Lacs,2018,"119,000 km",Petrol,"Others, Kasur•",https://www.olx.com.pk/item/suzuki-wagon-r-2022-iid-1105547829,Suzuki,Wagon R,Used,Sedan,White,
Lexus RX 450h 3.5L Hybrid 3500cc – Luxury SUV – Excellent Condition,Rs 2.25 Crore,2015,"96,000 km",Hybrid,"Bahria Town, Islamabad•",https://www.olx.com.pk/item/lexus-rx-450h-35l-hybrid-3500cc-luxury-suv-excellent-condition-iid-1105345918,Lexus,RX Series,Used,Other,White,5.0
Toyota Raize 2020,Rs 67.50 Lacs,2020,"48,922 km",Petrol,"Gul Abad, Lower Dir•",https://www.olx.com.pk/item/toyota-raize-2020-iid-1105345391,Toyota,Raize,Used,SUV,White,5.0
Haval H6 2025,Rs 93.50 Lacs,2025,New,Petrol,"University Road, Sargodha•",https://www.olx.com.pk/item/haval-h6-2025-iid-1105338927,Haval,H6,New,SUV,Black,5.0
Suzuki Cultus 2015 Model Total genuine For sale,Rs 15.60 Lacs,2015,"90,000 km",Petrol,"Qainchi, Lahore•",https://www.olx.com.pk/item/suzuki-cultus-2015-model-total-genuine-for-sale-iid-1105927273,Suzuki,Cultus VXL,Used,Other,Silver,5.0
Santro hyndai,Rs 12.70 Lacs,2006,"198,500 km",Petrol,"Kot Radha Kishan, Kasur•",https://www.olx.com.pk/item/santro-hyndai-iid-1105906782,Hyundai,Santro,Used,Other,Grey,4.0
Suzuki vagon r vxl,Rs 18.75 Lacs,2016,"76,000 km",Petrol,"Saddar, Karachi•",https://www.olx.com.pk/item/suzuki-vagon-r-vxl-iid-1105796902,,,,,,
Toyota Crown Hybrid G 2019,Rs 2.10 Crore,2019,"95,000 km",Hybrid,"Central Avenue, Islamabad•",https://www.olx.com.pk/item/toyota-crown-hybrid-g-2019-iid-1105929777,,,,,,
first owner bumper to bumper,Rs 25.25 Lacs,2021,"36,000 km",Petrol,"Saddar, Rawalpindi•",https://www.olx.com.pk/item/first-owner-bumper-to-bumper-iid-1105929641,,,,,,
Honda city ivtec 2019 model white colour,Rs 37 Lacs,2019,"160,000 km",Petrol,"Rahimyar Khan, Punjab•",https://www.olx.com.pk/item/honda-city-ivtec-2019-model-white-colour-iid-1105929629,,,,,,
Civic X 2018 UG,Rs 44.80 Lacs,2018,"82,000 km",Petrol,"Saima Downtown, Hyderabad•",https://www.olx.com.pk/item/civic-x-2018-ug-iid-1105916460,,,,,,
Suzuki WagonR Vxl 2017 Mod 2018 Reg (Best Condition) Family Use Urgent,Rs 20.50 Lacs,2017,"112,000 km",Petrol,"Harbanspura, Lahore•",https://www.olx.com.pk/item/suzuki-wagonr-vxl-2017-mod-2018-reg-best-condition-family-use-urgent-iid-1105929103,,,,,,
Toyota Passo     better than alto nissan dayz n wgn suzuki cultus vitz,Rs 25.90 Lacs,2014,"81,000 km",Petrol,"Bhimber Road, Gujrat•",https://www.olx.com.pk/item/toyota-passo-better-than-alto-nissan-dayz-n-wgn-suzuki-cultus-vitz-iid-1105833451,,,,,,
WagonR 2017 VXL well maintained,Rs 22.50 Lacs,2018,"120,000 km",Petrol,"Park View City - Broadway Commercial, Lahore•",https://www.olx.com.pk/item/wagonr-2017-vxl-well-maintained-iid-1105925599,,,,,,
Toyota Land Cruiser ZX 2016 Model Excellent Condition,Rs 3.40 Crore,2016,"64,000 km",Petrol,"Ali Town, Faisalabad•",https://www.olx.com.pk/item/toyota-land-cruiser-zx-2016-model-excellent-condition-iid-1105545181,,,,,,
Suzuki Every 2010 /2014,Rs 17.45 Lacs,2010,"1,234 km",Petrol,"Others, Kharian•",https://www.olx.com.pk/item/suzuki-every-2010-2014-iid-1105544362,,,,,,
"Honda BR-V S 2020 Top of the Line Better then Toyota Raize, Aqua, Vitz",Rs 47 Lacs,2020,"66,000 km",Petrol,"Korangi, Karachi•",https://www.olx.com.pk/item/honda-br-v-s-2020-top-of-the-line-better-then-toyota-raize-aqua-vitz-iid-1105543492,,,,,,
Toyota Surf SSR-X 2.7 2005,Rs 79.80 Lacs,2005,"107,000 km",Petrol,"Abbottabad Road, Abbottabad•",https://www.olx.com.pk/item/toyota-surf-ssr-x-27-2005-iid-1105142003,,,,,,
MG HS 2021 TROPHY EDITION,Rs 67 Lacs,2021,"21,700 km",Petrol,"Shahdara, Lahore•",https://www.olx.com.pk/item/mg-hs-2021-trophy-edition-iid-1105141565,,,,,,
Hyundai Tucson 2023,Rs 80.50 Lacs,2023,"50,500 km",Petrol,"New Garden Town, Lahore•",https://www.olx.com.pk/item/hyundai-tucson-2023-iid-1105916961,,,,,,
prince pearl,Rs 13.50 Lacs,2021,"13,000 km",Petrol,"Block D, Okara•",https://www.olx.com.pk/item/prince-pearl-iid-1105757280,,,,,,
KIA Picanto 2021,Rs 32 Lacs,2021,"38,644 km",Petrol,"Kashmir Road, Sialkot•",https://www.olx.com.pk/item/kia-picanto-2021-iid-1105928312,,,,,,
swift dlx,Rs 20.60 Lacs,2012,"195,000 km",Petrol,"Murree Road, Rawalpindi•",https://www.olx.com.pk/item/swift-dlx-iid-1105780941,,,,,,
Civic promestic,Rs 15.50 Lacs,2004,"150,000 km",Petrol,"North Karachi - Sector 5-C, Karachi•",https://www.olx.com.pk/item/civic-promestic-iid-1102883685,,,,,,
Toyota Prius S LED 1.8 2013 Model Excellent Condition,Rs 41.50 Lacs,2013,"140,000 km",Hybrid,"Gulshan-e-Ravi, Lahore•",https://www.olx.com.pk/item/toyota-prius-s-led-18-2013-model-excellent-condition-iid-1105928080,,,,,,
MG HS CBU For Sale,Rs 66.84 Lacs,2021,"57,000 km",Petrol,"Main Boulevard Gulberg, Lahore•",https://www.olx.com.pk/item/mg-hs-cbu-for-sale-iid-1105877771,,,,,,
Suzuki Alto 2024,Rs 27.50 Lacs,2024,"33,000 km",Petrol,"Quetta Avenue, Quetta•",https://www.olx.com.pk/item/suzuki-alto-2024-iid-1105927862,,,,,,
Toyota Vitz F Safety Edition 2017 / 2020 Lush Condition,Rs 37.29 Lacs,2017,"85,000 km",Petrol,"Jandar Bazar, Sialkot•",https://www.olx.com.pk/item/toyota-vitz-f-safety-edition-2017-2020-lush-condition-iid-1105927506,,,,,,
Toyota Altis SR 2011 Model,Rs 32.50 Lacs,2011,"100,000 km",Petrol,"Others, Renala Khurd•",https://www.olx.com.pk/item/toyota-altis-sr-2011-model-iid-1105927313,,,,,,
Honda Civic Oriel 2022,Rs 75 Lacs,2022,"57,999 km",Petrol,"Chiniot Jhumra Road, Chiniot•",https://www.olx.com.pk/item/honda-civic-oriel-2022-iid-1105927243,,,,,,
Hyundai Santro 2006,Rs 9.94 Lac,2006,"134,000 km",Petrol,"Peoples Colony No 2, Faisalabad•",https://www.olx.com.pk/item/hyundai-santro-2006-iid-1105921905,,,,,,
2022 Suzuki Wagon R HYBRID FX 4 Grade Dayz Mira Alto,Rs 39.50 Lacs,2022,"83,761 km",Hybrid,"Maulana Shaukat Ali Road, Lahore•",https://www.olx.com.pk/item/2022-suzuki-wagon-r-hybrid-fx-4-grade-dayz-mira-alto-iid-1105926957,,,,,,
Honda city 2000,Rs 10.75 Lacs,2000,"49,000 km",Petrol,"Harley Street, Rawalpindi•",https://www.olx.com.pk/item/honda-city-2000-iid-1104945833,,,,,,
2024 Suzuki Alto VXL AGS automatic,Rs 32 Lacs,2024,New,Petrol,"Mall of Korang, Islamabad•",https://www.olx.com.pk/item/2024-suzuki-alto-vxl-ags-automatic-iid-1105921408,,,,,,
Hyundai Santro 2008 Model (Manual),Rs 15 Lacs,2008,"200,000 km",LPG,"Bahria Town, Lahore•",https://www.olx.com.pk/item/hyundai-santro-2008-model-manual-iid-1105926636,,,,,,
Suzuki Wagon R VXL 2017 Model First Owner For Sale,Rs 19.85 Lacs,2017,"160,000 km",Petrol,"Baghbanpura, Lahore•",https://www.olx.com.pk/item/suzuki-wagon-r-vxl-2017-model-first-owner-for-sale-iid-1105924940,,,,,,
Toyota vitz 2006-09,Rs 22.50 Lacs,2006,"171,000 km",Petrol,"Salhad, Abbottabad•",https://www.olx.com.pk/item/toyota-vitz-2006-09-iid-1105899548,,,,,,
Toyota Fortuner 2.7 G 2024/2025 | Toyota Fortuner 2024 For Sale,Rs 1.67 Crore,2024,"9,000 km",Petrol,"Khurrianwala Town, Faisalabad•",https://www.olx.com.pk/item/toyota-fortuner-27-g-20242025-toyota-fortuner-2024-for-sale-iid-1105925354,,,,,,
Hyundai Sonata 2.5 2022,Rs 96 Lacs,2022,"38,000 km",Petrol,"Phalia Mandi Bahauddin Road, Mandi Bahauddin•",https://www.olx.com.pk/item/hyundai-sonata-25-2022-iid-1105542148,,,,,,
DFSK Glory 580 Pro 2021 Lush Condition,Rs 48.50 Lacs,2021,"63,000 km",Petrol,"Bahria Town - Sector F, Lahore•",https://www.olx.com.pk/item/dfsk-glory-580-pro-2021-lush-condition-iid-1103649228,,,,,,
Honda Vezel  hybrid Z honda sensing,Rs 63 Lacs,2017,"65,000 km",Hybrid,"Shalamar Square, Lahore•",https://www.olx.com.pk/item/honda-vezel-hybrid-z-honda-sensing-iid-1103572295,,,,,,
2020 Suzuki Every 4 Grade New Meter Trip tonic Gear Parking Sensors,Rs 28.50 Lacs,2020,"102,056 km",Petrol,"Maulana Shaukat Ali Road, Lahore•",https://www.olx.com.pk/item/2020-suzuki-every-4-grade-new-meter-trip-tonic-gear-parking-sensors-iid-1105926472,,,,,,
Suzuki Carry Bolan 2011 PM Yellow Cab Scheme,Rs 9 Lac,2011,"50,000 km",Petrol,"Ghauri Town, Islamabad•",https://www.olx.com.pk/item/suzuki-carry-bolan-2011-pm-yellow-cab-scheme-iid-1105892081,,,,,,
SUZUKI CULTUS VXR 2023,Rs 34.40 Lacs,2023,"26,300 km",Petrol,"Gulshan-e-Kaneez Fatima, Karachi•",https://www.olx.com.pk/item/suzuki-cultus-vxr-2023-iid-1105855105,,,,,,
wagonr vxr 2017 mint condition,Rs 18.39 Lacs,2017,"82,000 km",Petrol,"Gulshan-e-Iqbal, Karachi•",https://www.olx.com.pk/item/wagonr-vxr-2017-mint-condition-iid-1105678027,,,,,,
Toyota Passo-2015,Rs 30 Lacs,2015,"68,500 km",Petrol,"North Nazimabad - Block I, Karachi•",https://www.olx.com.pk/item/toyota-passo-2015-iid-1105672702,,,,,,
Suzuki APV GLX 2020,Rs 66 Lacs,2020,"44,130 km",Petrol,"Cantt, Peshawar•",https://www.olx.com.pk/item/suzuki-apv-glx-2020-iid-1104306571,,,,,,
Toyota Passo 2007,Rs 22.50 Lacs,2006,"127,000 km",Petrol,"Satellite Town, Rawalpindi•",https://www.olx.com.pk/item/toyota-passo-2007-iid-1105925016,,,,,,
Honda city 2005,Rs 17.89 Lacs,2005,"171,000 km",Petrol,"Citi Housing Overseas, Jhelum•",https://www.olx.com.pk/item/honda-city-2005-iid-1105504103,,,,,,
Honda city 2011 total genuine lush condition,Rs 27.50 Lacs,2011,"88,000 km",Petrol,"New Gojra Town, Mandi Bahauddin•",https://www.olx.com.pk/item/honda-city-2011-total-genuine-lush-condition-iid-1103760765,,,,,,
Toyota CHR G-LED 2017/21,Rs 68 Lacs,2017,"160,000 km",Hybrid,"Gulberg 1, Lahore•",https://www.olx.com.pk/item/toyota-chr-g-led-201721-iid-1105917267,,,,,,
Toyota Passo 2022 Model 13000Km 4.5 Grade 2025 Yaris 2020 2021 2023,Rs 44.25 Lacs,2022,New,Petrol,"Johar Town Phase 1, Lahore•",https://www.olx.com.pk/item/toyota-passo-2022-model-13000km-45-grade-2025-yaris-2020-2021-2023-iid-1105925164,,,,,,
Toyota Passo 2022 Model 13000Km 4.5 Grade Arrival OCT 2025 Yaris 2021,Rs 44.25 Lacs,2022,New,Petrol,"Johar Town Phase 1, Lahore•",https://www.olx.com.pk/item/toyota-passo-2022-model-13000km-45-grade-arrival-oct-2025-yaris-2021-iid-1105925039,,,,,,
Suzuki CULTUS VXL 2016,Rs 16 Lacs,2016,"136,000 km",Petrol,"Lahore Avenue, Lahore•",https://www.olx.com.pk/item/suzuki-cultus-vxl-2016-iid-1105924989,,,,,,
Toyota Corolla GLI 2019,Rs 45.50 Lacs,2019,"118,000 km",Petrol,"Bahria Orchard, Lahore•",https://www.olx.com.pk/item/toyota-corolla-gli-2019-iid-1105924737,,,,,,
Toyota Corolla XLI 2009,Rs 22.50 Lacs,2009,"165,000 km",Petrol,"Hill Park, Karachi•",https://www.olx.com.pk/item/toyota-corolla-xli-2009-iid-1105923756,,,,,,
Toyota raize z package,Rs 62.85 Lacs,2020,"47,500 km",Petrol,"Cantt, Jhelum•",https://www.olx.com.pk/item/toyota-raize-z-package-iid-1105723069,,,,,,
Hyundai Santro 2003,Rs 10.95 Lacs,2003,"100,000 km",Petrol,"Rail Town (Canal City), Lahore•",https://www.olx.com.pk/item/hyundai-santro-2003-iid-1105340248,,,,,,
Rocky G 2020 4.5 Grade 29k Millage 2025 July Import Raize 2021 2019 z,Rs 59.90 Lacs,2020,New,Petrol,"Johar Town Phase 1, Lahore•",https://www.olx.com.pk/item/rocky-g-2020-45-grade-29k-millage-2025-july-import-raize-2021-2019-z-iid-1103671561,,,,,,
Toyota Yaris c. v. t 1.5 Total Genuine 100%,Rs 48.50 Lacs,2021,New,Petrol,"Valencia Town, Lahore•",https://www.olx.com.pk/item/toyota-yaris-c-v-t-15-total-genuine-100-iid-1105921157,,,,,,
Alto VXL AGS 2022,Rs 28.50 Lacs,2022,"50,000 km",Petrol,"Margalla Town, Islamabad•",https://www.olx.com.pk/item/alto-vxl-ags-2022-iid-1105898119,,,,,,
Toyota Vitz 2013,Rs 24.50 Lacs,2013,"111,500 km",Petrol,"Phalia Mandi Bahauddin Road, Mandi Bahauddin•",https://www.olx.com.pk/item/toyota-vitz-2013-iid-1105924157,,,,,,
Honda City 1999,Rs 7.90 Lac,1999,"100,000 km",Petrol,"Khyber Colony 1, Peshawar•",https://www.olx.com.pk/item/honda-city-1999-iid-1105924130,,,,,,
Toyota Corolla 1997,Rs 32 Lacs,1997,"35,000 km",Petrol,"Samanabad, Lahore•",https://www.olx.com.pk/item/toyota-corolla-1997-iid-1105924094,,,,,,
Kia sportage,Rs 65.70 Lacs,2020,"98,000 km",Petrol,"Chaklala Scheme, Rawalpindi•",https://www.olx.com.pk/item/kia-sportage-iid-1105907247,,,,,,
Selling my Toyota Corolla Gli 2013 model in mint condition.,Rs 25.90 Lacs,2013,"175,600 km",Petrol,"Jahaz Ground, Sahiwal•",https://www.olx.com.pk/item/selling-my-toyota-corolla-gli-2013-model-in-mint-condition-iid-1105482664,,,,,,
Toyota Corolla Altis 2023/24 MODEL,Rs 64 Lacs,2023,"10,202 km",Petrol,"DC Colony, Gujranwala•",https://www.olx.com.pk/item/toyota-corolla-altis-202324-model-iid-1105920854,,,,,,
